201	101
0	0	6.28E-05
0.0025	0	462.6689233
0.005	0	3228.957398
0.0075	0	3725.749038
0.01	0	3828.274566
0.0125	0	3848.891098
0.015	0	3856.392401
0.0175	0	3861.975161
0.02	0	3867.410852
0.0225	0	3872.917609
0.025	0	3878.502341
0.0275	0	3884.148438
0.03	0	3889.83828
0.0325	0	3895.555748
0.035	0	3901.287062
0.0375	0	3907.018306
0.04	0	3912.737766
0.0425	0	3918.436851
0.045	0	3924.100604
0.0475	0	3929.724417
0.05	0	3935.300275
0.0525	0	3940.820695
0.055	0	3946.27978
0.0575	0	3951.673402
0.06	0	3956.999617
0.0625	0	3962.256656
0.065	0	3967.442929
0.0675	0	3972.558335
0.07	0	3977.604391
0.0725	0	3982.559667
0.075	0	3987.43481
0.0775	0	3992.23739
0.08	0	3996.971762
0.0825	0	4001.593391
0.085	0	4006.139501
0.0875	0	4010.624127
0.09	0	4014.986199
0.0925	0	4019.278533
0.095	0	4023.499932
0.0975	0	4027.596962
0.1	0	4031.652983
0.1025	0	4035.57165
0.105	0	4039.440431
0.1075	0	4043.197383
0.11	0	4046.88287
0.1125	0	4050.471355
0.115	0	4053.98007
0.1175	0	4057.393844
0.12	0	4060.734905
0.1225	0	4063.967764
0.125	0	4067.153446
0.1275	0	4070.202279
0.13	0	4073.248881
0.1325	0	4076.157396
0.135	0	4079.065912
0.1375	0	4081.870483
0.14	0	4084.625308
0.1425	0	4087.331013
0.145	0	4089.875252
0.1475	0	4092.41949
0.15	0	4094.813388
0.1525	0	4097.137222
0.155	0	4099.456796
0.1575	0	4101.545538
0.16	0	4103.634279
0.1625	0	4105.659299
0.165	0	4107.478358
0.1675	0	4109.297417
0.17	0	4111.039329
0.1725	0	4112.625588
0.175	0	4114.211847
0.1775	0	4115.705445
0.18	0	4117.074443
0.1825	0	4118.443441
0.185	0	4119.699178
0.1875	0	4120.872624
0.19	0	4122.046071
0.1925	0	4123.102298
0.195	0	4124.127055
0.1975	0	4125.147027
