100	50
0.0025	0.0008	3256.27
0.0075	0.0008	3511.63
0.0125	0.0008	3838.97
0.0175	0.0008	3858.62
0.0225	0.0008	3868.41
0.0275	0.0008	3878.36
0.0325	0.0008	3888.75
0.0375	0.0008	3899.28
0.0425	0.0008	3909.9
0.0475	0.0008	3920.47
0.0525	0.0008	3930.98
0.0575	0.0008	3941.29
0.0625	0.0008	3951.41
0.0675	0.0008	3961.34
0.0725	0.0008	3971.06
0.0775	0.0008	3980.39
0.0825	0.0008	3989.52
0.0875	0.0008	3998.33
0.0925	0.0008	4006.81
0.0975	0.0008	4015.09
0.1025	0.0008	4023.04
0.1075	0.0008	4030.67
0.1125	0.0008	4037.9
0.1175	0.0008	4044.88
0.1225	0.0008	4051.53
0.1275	0.0008	4057.92
0.1325	0.0008	4063.99
0.1375	0.0008	4069.67
0.1425	0.0008	4075.02
0.1475	0.0008	4080.1
0.1525	0.0008	4085
0.1575	0.0008	4089.56
0.1625	0.0008	4093.79
0.1675	0.0008	4097.57
0.1725	0.0008	4101.22
0.1775	0.0008	4104.6
0.1825	0.0008	4107.53
0.1875	0.0008	4110.26
0.1925	0.0008	4112.72
0.1975	0.0008	4114.93
0.2025	0.0008	4116.93
0.2075	0.0008	4118.8
0.2125	0.0008	4120.6
0.2175	0.0008	4122.33
0.2225	0.0008	4124.05
0.2275	0.0008	4125.82
0.2325	0.0008	4127.73
0.2375	0.0008	4129.68
0.2425	0.0008	4131.69
0.2475	0.0008	4133.82
0.2525	0.0008	4136.08
0.2575	0.0008	4138.33
0.2625	0.0008	4140.57
0.2675	0.0008	4142.81
0.2725	0.0008	4144.98
0.2775	0.0008	4147.01
0.2825	0.0008	4148.92
0.2875	0.0008	4150.62
0.2925	0.0008	4152.13
0.2975	0.0008	4153.37
0.3025	0.0008	4154.36
0.3075	0.0008	4155.07
0.3125	0.0008	4155.6
0.3175	0.0008	4155.86
0.3225	0.0008	4155.93
0.3275	0.0008	4155.79
0.3325	0.0008	4155.53
0.3375	0.0008	4155.06
0.3425	0.0008	4154.47
0.3475	0.0008	4153.67
0.3525	0.0008	4152.75
0.3575	0.0008	4151.62
0.3625	0.0008	4150.37
0.3675	0.0008	4148.91
0.3725	0.0008	4147.33
0.3775	0.0008	4145.61
0.3825	0.0008	4143.7
0.3875	0.0008	4141.67
0.3925	0.0008	4139.43
0.3975	0.0008	4137.07
0.4025	0.0008	4134.52
0.4075	0.0008	4131.85
0.4125	0.0008	4129.05
0.4175	0.0008	4126.06
0.4225	0.0008	4122.96
0.4275	0.0008	4119.66
0.4325	0.0008	4116.25
0.4375	0.0008	4112.64
0.4425	0.0008	4108.85
0.4475	0.0008	4104.87
0.4525	0.0008	4100.77
0.4575	0.0008	4096.48
0.4625	0.0008	4091.99
0.4675	0.0008	4087.25
0.4725	0.0008	4082.39
0.4775	0.0008	4077.34
0.4825	0.0008	4072.02
0.4875	0.0008	4066.45
0.4925	0.0008	4060.74
0.4975	0.0008	4054.78
0.0025	0.0024	3251.83
0.0075	0.0024	3507.05
0.0125	0.0024	3833.89
0.0175	0.0024	3852.49
0.0225	0.0024	3861.29
0.0275	0.0024	3870.72
0.0325	0.0024	3880.65
0.0375	0.0024	3891.01
0.0425	0.0024	3901.51
0.0475	0.0024	3912.16
0.0525	0.0024	3922.75
0.0575	0.0024	3933.27
0.0625	0.0024	3943.6
0.0675	0.0024	3953.79
0.0725	0.0024	3963.86
0.0775	0.0024	3973.39
0.0825	0.0024	3982.99
0.0875	0.0024	3992.07
0.0925	0.0024	4000.88
0.0975	0.0024	4009.56
0.1025	0.0024	4017.91
0.1075	0.0024	4025.8
0.1125	0.0024	4033.43
0.1175	0.0024	4040.67
0.1225	0.0024	4047.65
0.1275	0.0024	4054.37
0.1325	0.0024	4060.69
0.1375	0.0024	4066.7
0.1425	0.0024	4072.24
0.1475	0.0024	4077.53
0.1525	0.0024	4082.61
0.1575	0.0024	4087.5
0.1625	0.0024	4091.99
0.1675	0.0024	4095.9
0.1725	0.0024	4099.68
0.1775	0.0024	4103.32
0.1825	0.0024	4106.37
0.1875	0.0024	4109.23
0.1925	0.0024	4111.89
0.1975	0.0024	4114.29
0.2025	0.0024	4116.29
0.2075	0.0024	4118.22
0.2125	0.0024	4120.09
0.2175	0.0024	4121.81
0.2225	0.0024	4123.6
0.2275	0.0024	4125.37
0.2325	0.0024	4127.27
0.2375	0.0024	4129.3
0.2425	0.0024	4131.37
0.2475	0.0024	4133.57
0.2525	0.0024	4135.83
0.2575	0.0024	4138.14
0.2625	0.0024	4140.44
0.2675	0.0024	4142.75
0.2725	0.0024	4144.98
0.2775	0.0024	4147.08
0.2825	0.0024	4148.98
0.2875	0.0024	4150.68
0.2925	0.0024	4152.19
0.2975	0.0024	4153.43
0.3025	0.0024	4154.42
0.3075	0.0024	4155.14
0.3125	0.0024	4155.67
0.3175	0.0024	4155.86
0.3225	0.0024	4155.93
0.3275	0.0024	4155.73
0.3325	0.0024	4155.47
0.3375	0.0024	4154.94
0.3425	0.0024	4154.28
0.3475	0.0024	4153.42
0.3525	0.0024	4152.36
0.3575	0.0024	4151.24
0.3625	0.0024	4149.86
0.3675	0.0024	4148.34
0.3725	0.0024	4146.62
0.3775	0.0024	4144.78
0.3825	0.0024	4142.81
0.3875	0.0024	4140.64
0.3925	0.0024	4138.28
0.3975	0.0024	4135.8
0.4025	0.0024	4133.12
0.4075	0.0024	4130.32
0.4125	0.0024	4127.33
0.4175	0.0024	4124.28
0.4225	0.0024	4120.98
0.4275	0.0024	4117.49
0.4325	0.0024	4113.88
0.4375	0.0024	4110.08
0.4425	0.0024	4106.1
0.4475	0.0024	4101.92
0.4525	0.0024	4097.69
0.4575	0.0024	4093.14
0.4625	0.0024	4088.4
0.4675	0.0024	4083.53
0.4725	0.0024	4078.4
